id,query,vertical,ldap
1,Write an essay with data on which countries the US imports the most food products from and in what quantities?,Agriculture,
2,compare the agriculture industry between USA and china and give me some statistics.,,
3,Tell me about Cancer in Illinois.,,
4,What are the causes of Death in Louisiana?,,
5,"With statistics, which cities will suffer the most from climate change in 10 years?",,
6,Tell me about Commute in New York State.,,
7,"With statistics, how common is commuting by bike in Europe compared to the US?",,
8,Compare bachelors majors in Berkeley vs Austin.,,
9,Compare Foreign born population vs. PhD holders in California counties.,,
10,Compare GDP vs Remittances across countries in Africa.,,
11,Compare modes of commute between NYC and Chicago.,,
12,Compare the school system in New York with the school system in Palo Alto.,,
13,Compare the economy of california to that of india.,,
14,Tell me about crime rates across US cities.,,
15,Tell me about the demographics of divorced people in California.,,
16,Tell me about diabetes in Atlanta.,,
17,Tell me about drought events around the world.,,
18,Compare the education expenditure in the US vs Canada.,,
19,How does Educational Attainment look in the US?,,
20,How are children progressing globally against social-emotional skills?,,
21,Tell me about health behaviors in Bangladesh.,,
22,Compare Health conditions vs median age in Alameda County.,,
23,Have certain health outcomes gotten worse across the world?,,
24,"With statistics, how much more common are hurricanes compared to 10 years ago?",,
25,What is the immigrant situation in US now and how does it compare with 20 years ago?,,
26,Compare immigration in Texas vs California.,,
27,Compare mortality in the US vs Spain vs Nigeria.,,
28,"Tell me about the education system in New York state and the overall school districts. Also, how does it compare with other regions in the US?",,
29,Have we made progress towards global food security?,,
30,Has there been a decline in the quality of schools in the SF bay area?  Is the steep cost of living to blame?,,
31,Tell me about recent Floods in Pakistan.,,
32,Compare rooms per house in New York City vs Salt Lake City.,,
33,"Using statistics, compare the exports of the US and Canada.",,
34,Tell me about wealth inequality in California. How does that compare to New York State?,,
35,How is the Racial Diversity in California?,,
36,What kind of pollution affects Seattle?,,
37,What are the Richest and Poorest countries in the world by GDP?,,
38,How has Immigration in the US changed over time?,,
39,What is the Impact of livestock on the environment?,,
40,What are some of the major health concerns in the US. Show Statistics.,,
41,How has education funding incrased in developing countries?,,
42,How is the world combating unregulated fishing?,,
43,How will climate change affect coastal communities in Europe?,,
44,What percentage of 3-5 year olds are developmentally off track for at least two domains across learning?,,
45,How is the access to clean drinking water in Mexico?,,
46,Show me how access to early childhood education varies across all the states in Canada?,,
47,How has access to electricity improved in Kenya?,,
48,How accessible are preventative healthcare services in the US?,,
49,what is the obesity rate in santa clara county?,,
50,Which oecd countries have the highest amount of inequality?,,
51,How have HIV infections trended?,,
52,How have the demographics of Iceland changed?,,
53,How many Bachelor's degree holders are in California counties?,,
54,How have global poverty rates changed over the last decade?,,
55,When were the houses in NYC built?,,
56,What percentage of children are in organized learning prior to primary school?,,
57,"What percentage of 3-5 year olds are developmentally off track for at least two domains across learning, literacty-numeracy, physical development, and social emotional development?",,
58,"Compare SDG goals on climate change between Brazil, China and India.",,
